Model,Accuracy,Image_Size
KNN,0.2732558139534883,128
SVM,0.3895348837209302,128
Random Forest,0.3808139534883721,128
Logistic Regression,0.3546511627906977,128
Decision Tree,0.2732558139534883,128
Naive Bayes,0.3226744186046512,128
Vanilla_CNN,0.6104651162790697,128
EfficientNetV2,0.936046511627907,128
KNN,0.2761627906976744,256
SVM,0.39244186046511625,256
Random Forest,0.3691860465116279,256
Logistic Regression,0.3430232558139535,256
Decision Tree,0.26453488372093026,256
Naive Bayes,0.31976744186046513,256
Vanilla_CNN,0.5901162790697675,256
EfficientNetV2,0.9854651162790697,256
